PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Shaun Wilson	RB	TB	@CHI	125	46.00	3.00	21.50	0.00	3000	0.0	0.0
Tyler Ervin	RB	HOU	@IND	0	0.00	0.00	0.00	0.00	3000	10.0	3.3
Cole Wick	TE	SF	@LAC	360	46.00	10.00	18.00	0.00	2500	10.0	4.0
Brian Hill	RB	ATL	CIN	-195	52.50	-3.50	28.00	0.00	3000	10.0	3.3
Derrick Coleman	RB	ARI	SEA	160	40.00	0.00	20.00	0.00	3000	0.0	0.0
Devonta Freeman	RB	ATL	CIN	-195	52.50	-3.50	28.00	0.00	6000	10.0	1.7
Anthony Sherman	RB	KC	@DEN	-195	54.50	0.00	27.25	0.00	3000	10.0	3.3
Jake Butt	TE	DEN	KC	165	54.50	0.00	27.25	0.00	2700	0.0	0.0
Seth DeValve	TE	CLE	@OAK	115	44.00	2.50	20.75	0.00	2500	10.0	4.0
Marcus Kemp	WR	KC	@DEN	-195	54.50	0.00	27.25	0.00	3000	10.0	3.3
Evan Engram	TE	NYG	NO	145	53.00	0.00	26.50	0.00	4100	0.0	0.0
Matt Schaub	QB	ATL	CIN	-195	52.50	-3.50	28.00	0.00	4000	10.0	2.5
