PLAYER	POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
											
Todd Gurley	RB	LAR	@SF	-450	52.00	-9.50	30.75	13.06	9800	24.8	2.5
Jared Goff	QB	LAR	@SF	-450	52.00	-9.50	30.75	3.90	6600	24.5	3.7
Jameis Winston	QB	TB	CLE	-195	51.50	-3.50	27.50	14.55	6300	24.1	3.8
Adam Thielen	WR	MIN	@NYJ	-195	46.00	-3.50	24.75	12.52	8600	24.0	2.8
Cam Newton	QB	CAR	@PHI	185	44.50	4.50	20.00	7.55	5900	20.8	3.5
Christian McCaffrey	RB	CAR	@PHI	185	44.50	4.50	20.00	10.86	7700	20.6	2.7
Kirk Cousins	QB	MIN	@NYJ	-195	46.00	-3.50	24.75	3.24	6400	20.4	3.2
Andrew Luck	QB	IND	BUF	-330	43.00	-7.50	25.25	8.39	6200	20.3	3.3
Carson Wentz	QB	PHI	CAR	-225	44.50	-4.50	24.50	6.29	6000	20.0	3.3
Drew Brees	QB	NO	@BAL	125	49.50	2.50	23.50	9.16	5700	19.9	3.5
Alvin Kamara	RB	NO	@BAL	125	49.50	2.50	23.50	15.63	8500	19.8	2.3
Tom Brady	QB	NE	@CHI	-150	48.50	-2.50	25.50	4.42	6100	19.8	3.2
Deshaun Watson	QB	HOU	@JAX	175	41.00	4.50	18.25	4.10	5500	19.7	3.6
Michael Thomas	WR	NO	@BAL	125	49.50	2.50	23.50	20.17	7900	19.3	2.5
Mitchell Trubisky	QB	CHI	NE	130	48.50	2.50	23.00	4.29	5600	19.1	3.4
Joe Flacco	QB	BAL	NO	-145	49.50	-2.50	26.00	8.79	5400	19.1	3.5
Matthew Stafford	QB	DET	@MIA	-160	46.50	-3.00	24.75	2.74	5800	18.9	3.3
Baker Mayfield	QB	CLE	@TB	165	51.50	3.50	24.00	10.45	5800	18.7	3.2
Ezekiel Elliott	RB	DAL	@WAS	100	41.50	1.00	20.25	6.34	8100	18.4	2.3
Blake Bortles	QB	JAX	HOU	-210	41.00	-4.50	22.75	3.27	5200	18.0	3.5
Alex Smith	QB	WAS	DAL	-120	41.50	-1.00	21.25	1.98	5100	17.8	3.5
C.J. Beathard	QB	SF	LAR	350	52.00	9.50	21.25	2.06	4800	17.8	3.7
Dak Prescott	QB	DAL	@WAS	100	41.50	1.00	20.25	1.91	5300	17.5	3.3
Mike Evans	WR	TB	CLE	-195	51.50	-3.50	27.50	24.30	7700	17.3	2.3
James White	RB	NE	@CHI	-150	48.50	-2.50	25.50	6.58	6900	17.0	2.5
Jarvis Landry	WR	CLE	@TB	165	51.50	3.50	24.00	28.14	7300	16.9	2.3
T.J. Yeldon	RB	JAX	HOU	-210	41.00	-4.50	22.75	7.63	6400	16.6	2.6
DeAndre Hopkins	WR	HOU	@JAX	175	41.00	4.50	18.25	7.35	6900	16.6	2.4
Robert Woods	WR	LAR	@SF	-450	52.00	-9.50	30.75	6.85	7000	16.5	2.4
Stefon Diggs	WR	MIN	@NYJ	-195	46.00	-3.50	24.75	6.55	7200	16.2	2.3
Zach Ertz	TE	PHI	CAR	-225	44.50	-4.50	24.50	7.42	7100	16.0	2.3
Brandin Cooks	WR	LAR	@SF	-450	52.00	-9.50	30.75	5.30	7100	15.1	2.1
Golden Tate	WR	DET	@MIA	-160	46.50	-3.00	24.75	6.07	6400	14.9	2.3
Sony Michel	RB	NE	@CHI	-150	48.50	-2.50	25.50	6.00	5500	14.7	2.7
