PLAYER	POS	REAL POS	TEAM	OPP	ML	O/U	SPRD	TM/P	OWN%	SAL	FPTS	VAL
Jeremy Sprinkle	UT	TE	WAS	@NO	220	52.50	6.00	23.25	2.58	200	0.4	2.0
Maurice Harris	UT	WR	WAS	@NO	220	52.50	6.00	23.25	2.52	200	3.8	19.0
Rico Gathers	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	0.27	200	2.5	12.6
Justin Hardy	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	2.47	200	0.6	3.1
Tyler Conklin	UT	TE	MIN	@PHI	145	47.00	3.00	22.00	0.09	200	0.4	2.0
Blake Jarwin	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	0.22	200	0.4	1.9
Brian Quick	UT	WR	WAS	@NO	220	52.50	6.00	23.25	2.13	600	1.2	2.0
Kapri Bibbs	UT	RB	WAS	@NO	220	52.50	6.00	23.25	2.13	800	0.3	0.4
Ryan Hewitt	UT	TE	IND	@NE	465	49.50	10.50	19.50	3.38	200	4.1	20.6
Mike Boone	UT	RB	MIN	@PHI	145	47.00	3.00	22.00	0.07	200	3.3	16.7
Nick Foles	UT	QB	PHI	MIN	-170	47.00	-3.00	25.00	0.00	6600	0.1	0.0
Russell Gage	UT	WR	ATL	@PIT	155	57.00	3.50	26.75	0.00	200	0.0	0.0
Chris Boswell	UT	K	PIT	ATL	-185	57.00	-3.50	30.25	0.00	3200	0.0	0.0
Stephen Gostkowski	UT	K	NE	IND	-630	49.50	-10.50	30.00	4.47	3400	0.0	0.0
Dwayne Washington	UT	RB	NO	WAS	-270	52.50	-6.00	29.25	0.00	200	0.0	0.0
Adam Vinatieri	UT	K	IND	@NE	465	49.50	10.50	19.50	0.00	3200	0.0	0.0
Dustin Hopkins	UT	K	WAS	@NO	220	52.50	6.00	23.25	0.00	3200	0.0	0.0
Kevin McDermott	UT	C	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	0.0	0.0
Wil Lutz	UT	K	NO	WAS	-270	52.50	-6.00	29.25	0.00	3600	0.0	0.0
Roc Thomas	UT	RB	MIN	@PHI	145	47.00	3.00	22.00	0.00	200	0.0	0.0
Dalton Schultz	UT	TE	DAL	@HOU	145	45.50	3.00	21.25	0.00	200	0.0	0.0
Ka'imi Fairbairn	UT	K	HOU	DAL	-170	45.50	-3.00	24.25	0.00	3600	0.0	0.0
Ted Ginn	UT	WR	NO	WAS	-270	52.50	-6.00	29.25	0.00	5600	0.0	0.0
Joshua Perkins	UT	TE	PHI	MIN	-170	47.00	-3.00	25.00	0.00	1000	0.6	0.6
Jacoby Brissett	UT	QB	IND	@NE	465	49.50	10.50	19.50	0.00	6800	0.1	0.0
Roosevelt Nix	UT	FB	PIT	ATL	-185	57.00	-3.50	30.25	0.00	200	0.5	2.5
Mike Wallace	UT	WR	PHI	MIN	-170	47.00	-3.00	25.00	0.00	200	0.0	0.0
Rob Kelley	UT	RB	WAS	@NO	220	52.50	6.00	23.25	0.00	200	0.0	0.0
